epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,8810.77,0.79591,0.50195,0.95743,0.95484,0.89701,0.95074,0.74606,0.75598,0.44453,0.92856,7.4256e-05,7.4256e-05,7.4256e-05
42,9018.68,0.79168,0.49316,0.95902,0.95469,0.9011,0.95336,0.75204,0.74792,0.43482,0.92569,6.71874e-05,6.71874e-05,6.71874e-05
43,9231.72,0.78479,0.4885,0.95562,0.95668,0.90437,0.95479,0.7571,0.74309,0.42649,0.9209,6.01188e-05,6.01188e-05,6.01188e-05
44,9438.41,0.77923,0.47936,0.95064,0.95823,0.90519,0.9557,0.75822,0.74112,0.41966,0.92008,5.30502e-05,5.30502e-05,5.30502e-05
45,9645.08,0.77047,0.46846,0.94695,0.95715,0.90709,0.95681,0.7604,0.73499,0.41651,0.91945,4.59816e-05,4.59816e-05,4.59816e-05
46,9860.81,0.77011,0.47186,0.94878,0.96018,0.90969,0.95749,0.76189,0.73185,0.41203,0.91733,3.8913e-05,3.8913e-05,3.8913e-05
47,10083,0.76255,0.46464,0.94359,0.95723,0.91146,0.95733,0.76456,0.72911,0.41101,0.91528,3.18444e-05,3.18444e-05,3.18444e-05
48,10303.8,0.75902,0.4575,0.9437,0.95985,0.9114,0.95838,0.76649,0.72248,0.40671,0.91291,2.47758e-05,2.47758e-05,2.47758e-05
49,10529.6,0.75641,0.45562,0.9436,0.9615,0.91169,0.95856,0.76693,0.72058,0.4056,0.9123,1.77072e-05,1.77072e-05,1.77072e-05
50,10753.3,0.75162,0.45128,0.94037,0.96241,0.91134,0.95898,0.76827,0.71965,0.40222,0.91256,1.06386e-05,1.06386e-05,1.06386e-05
